delta_privacy,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
28,15,480,2024-03-26 09:58:40.370274,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:40.450298,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:40.530418,Orin,23,74,6,35
29,15,480,2024-03-26 09:58:40.609350,Orin,17,74,6,35
33,15,480,2024-03-26 09:58:40.691609,Orin,16,74,6,35
30,15,480,2024-03-26 09:58:40.769242,Orin,22,74,6,35
30,15,480,2024-03-26 09:58:40.847612,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:40.928274,Orin,16,74,6,35
29,15,480,2024-03-26 09:58:41.006763,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:41.086469,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:41.163995,Orin,16,74,6,35
29,15,480,2024-03-26 09:58:41.243031,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:41.321984,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:41.401463,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:41.483563,Orin,18,74,6,35
28,15,480,2024-03-26 09:58:41.562120,Orin,22,74,6,35
30,15,480,2024-03-26 09:58:41.643478,Orin,18,74,6,35
28,15,480,2024-03-26 09:58:41.723181,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:41.803771,Orin,16,74,6,35
32,15,480,2024-03-26 09:58:41.886496,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:41.964515,Orin,21,74,6,35
29,15,480,2024-03-26 09:58:42.042042,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:42.123179,Orin,13,74,6,35
29,15,480,2024-03-26 09:58:42.203720,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:42.283766,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:42.363204,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:42.444434,Orin,16,74,6,35
29,15,480,2024-03-26 09:58:42.524151,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:42.602273,Orin,13,74,6,35
29,15,480,2024-03-26 09:58:42.683359,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:42.764249,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:42.843343,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:42.922601,Orin,22,74,6,35
29,15,480,2024-03-26 09:58:43.003015,Orin,18,74,6,35
34,15,480,2024-03-26 09:58:43.087768,Orin,19,74,6,35
29,15,480,2024-03-26 09:58:43.162675,Orin,22,74,6,35
28,15,480,2024-03-26 09:58:43.242829,Orin,31,74,6,35
29,15,480,2024-03-26 09:58:43.324366,Orin,32,74,6,35
29,15,480,2024-03-26 09:58:43.403221,Orin,14,74,6,35
29,15,480,2024-03-26 09:58:43.483630,Orin,18,74,6,35
